underlying,underlying_last,optionroot,type,expiration,quotedate,strike,last,bid,ask,volume,openinterest,impliedvol,delta,gamma,theta,vega
SPX,1921.42,SPX160115C02000000,call,1/15/16,10/1/15,2000,36.9,36,38.2,1016,26767,0.1697,0.3367,0.0021,-0.2889,3.7606
SPX,1948.51,SPX160115C02000000,call,1/15/16,10/2/15,2000,39.6,44.4,47.1,501,26249,0.173,0.3823,0.0021,-0.2896,3.9564
SPX,1987.89,SPX160115C02000000,call,1/15/16,10/5/15,2000,59.3,57.4,60.1,698,28099,0.1661,0.4635,0.0023,-0.2917,4.1385
SPX,1981.01,SPX160115C02000000,call,1/15/16,10/6/15,2000,56.5,53.3,55.7,1425,28256,0.1641,0.4467,0.0023,-0.2886,4.0856
SPX,1991.76,SPX160115C02000000,call,1/15/16,10/7/15,2000,59.95,61.4,64,72,28340,0.1723,0.4751,0.0022,-0.3097,4.115
SPX,2012.74,SPX160115C02000000,call,1/15/16,10/8/15,2000,70.05,69.6,71.5,424,28860,0.1668,0.5212,0.0023,-0.2984,4.1364
SPX,2014.54,SPX160115C02000000,call,1/15/16,10/9/15,2000,70,68.7,71.3,305,29100,0.1638,0.5255,0.0023,-0.2938,4.1164
SPX,2016.16,SPX160115C02000000,call,1/15/16,10/12/15,2000,67.3,66.8,69.8,321,29347,0.1522,0.5459,0.0025,-0.3048,4.0494
SPX,2003.02,SPX160115C02000000,call,1/15/16,10/13/15,2000,62.2,61.5,64.4,14,29337,0.1501,0.5274,0.0026,-0.333,4.0313
SPX,1992.73,SPX160115C02000000,call,1/15/16,10/14/15,2000,57.4,55.1,57.7,5380,29547,0.1542,0.4863,0.0026,-0.3136,3.9861
SPX,2023.25,SPX160115C02000000,call,1/15/16,10/15/15,2000,70,70,73,263,33738,0.1529,0.5641,0.0025,-0.3089,3.9724
SPX,2031.6,SPX160115C02000000,call,1/15/16,10/16/15,2000,74.25,74.7,76.8,4,33745,0.1601,0.5688,0.0024,-0.2922,3.9459
SPX,2031.38,SPX160115C02000000,call,1/15/16,10/19/15,2000,69.6,71.4,73.7,19,33769,0.1545,0.5713,0.0025,-0.2851,3.8757
SPX,2030.57,SPX160115C02000000,call,1/15/16,10/20/15,2000,71.55,70.7,72.9,233,33766,0.1545,0.5697,0.0026,-0.2874,3.855
SPX,2019.02,SPX160115C02000000,call,1/15/16,10/21/15,2000,66.2,65.5,67,127,33898,0.1574,0.54,0.0026,-0.3012,3.8531
SPX,2050.29,SPX160115C02000000,call,1/15/16,10/22/15,2000,86.9,86.2,88.8,169,34000,0.1667,0.6142,0.0023,-0.3071,3.7423
SPX,2075.91,SPX160115C02000000,call,1/15/16,10/23/15,2000,102.3,100.2,102.8,141,33978,0.1609,0.6774,0.0022,-0.2704,3.5267
SPX,2071.16,SPX160115C02000000,call,1/15/16,10/26/15,2000,100,97,99.7,911,34006,0.1534,0.69,0.0024,-0.2974,3.4127
SPX,2064.45,SPX160115C02000000,call,1/15/16,10/27/15,2000,95.42,94.6,96.9,10,34101,0.1509,0.69,0.0024,-0.3347,3.3956
SPX,2086.86,SPX160115C02000000,call,1/15/16,10/28/15,2000,104.6,111.2,113.9,4,34112,0.1539,0.7395,0.0022,-0.3209,3.1391
SPX,2089.99,SPX160115C02000000,call,1/15/16,10/29/15,2000,110,109.5,112.3,474,34112,0.1529,0.7372,0.0022,-0.2781,3.1211
SPX,2084.58,SPX160115C02000000,call,1/15/16,10/30/15,2000,110.95,102.2,104.9,41,34323,0.1318,0.7668,0.0024,-0.265,2.9167